codice_wm;prodotto;formato;minimo;catalogo_fornitore;rif_fornitore;pagina_fornitore
WM-PP01.1;Porta panino a conchiglia;12 × 12 × 7 h;10.000;Custom packaging grossisti;23P039;9
WM-PP01.2;Porta panino a conchiglia;12,5 × 12,5 × 10 h;10.000;Custom packaging grossisti;HB002;9
WM-PP01.3;Porta panino a conchiglia;16,5 × 15,5 × 9 h;10.000;Custom packaging grossisti;42-318;9
WM-PP02.1;Porta panino a fiore;15 × 15 × 9,5 h;5.000;Custom packaging grossisti;SIBO5;10
WM-PP03.1;Porta panino a scatto;15 × 15 × 10 h;5.000;Custom packaging grossisti;23P170;11
WM-PP03.2;Porta panino a scatto;22 × 12 × 7 h;5.000;Custom packaging grossisti;SIBO1;11
WM-PP04.1;Porta panino a vaschetta;10 × 5,5 × 8 h;5.000;Custom packaging grossisti;24P016;12
WM-SF01.1;Porta fritti;S · 14 × 8 × 7 h;5.000;Custom packaging grossisti;42-325;14
WM-SF01.2;Porta fritti;M · 14,5 × 14,5 × 6,5 h;5.000;Custom packaging grossisti;SIBO6;14
WM-SF01.3;Porta fritti;L · 22 × 12 × 7 h;5.000;Custom packaging grossisti;SIBO1;14
WM-SF02.1;Vaschetta porta fritti;S · 10 × 5,5 × 8 h;5.000;Custom packaging grossisti;22P102;15
WM-SF02.2;Vaschetta porta fritti;M · 14,5 × 8,5 × 4,5 h;5.000;Custom packaging grossisti;24P014;15
WM-SF02.3;Vaschetta porta fritti;L · 16,5 × 13 × 4 h;5.000;Custom packaging grossisti;23P104;15
WM-SF03.1;Food box;750 ml · 12,5 × 9 × 6,5 h;5.000;Custom packaging grossisti;700-424;16
WM-SF03.2;Food box;1200 ml · 15 × 12 × 6,5 h;5.000;Custom packaging grossisti;42-270;16
WM-SF04.1;Lunchbox;S · 11 × 9 × 6 h;5.000;Custom packaging grossisti;22P107;17
WM-SF04.2;Lunchbox;M · 12,5 × 12,5 × 7 h;5.000;Custom packaging grossisti;22P135;17
WM-SF04.3;Lunchbox;M · 14 × 9,5 × 6 h;5.000;Custom packaging grossisti;22P133;17
WM-SF04.4;Lunchbox;L · 22 × 8,5 × 7 h;5.000;Custom packaging grossisti;22P134;17
WM-SF05.1;Porta pollo;S · 6 × 6 × 10 h;5.000;Custom packaging grossisti;680-52;18
WM-SF05.2;Porta pollo;M · 8 × 8 × 13,5 h;5.000;Custom packaging grossisti;680-51;18
WM-SF05.3;Porta pollo;L · 9 × 9 × 19 h;5.000;Custom packaging grossisti;680-50;18
WM-SF06.1;Box porta pollo;20 × 14 × 5 h;5.000;Custom packaging grossisti;23P175;19
WM-SF07.1;Cono;S · 16 × 8 × 22 h;5.000;Custom packaging grossisti;42-274;20
WM-SF07.2;Cono;L · 19 × 9 × 26 h;5.000;Custom packaging grossisti;42-273;20
WM-SF08.1;Porta patatine;9,2 × 4,4 × 11 h;5.000;Custom packaging grossisti;23P083;21
WM-SF09.1;Porta hot dog;5 × 5 × 17 h;5.000;Custom packaging grossisti;23P042;22
WM-SF09.2;Porta hot dog;18 × 7 × 5 h;5.000;Custom packaging grossisti;24P045;22
WM-SF10.1;Porta hot dog con coperchio;22 × 7 × 7 h;5.000;Custom packaging grossisti;24P047;23
WM-AC01.1;Tovagliette;30 × 40 h;5.000;Custom packaging grossisti;WPT34;25
WM-AC02.1;Porta bicchieri;DA 2 FORI;5.000;Custom packaging grossisti;955-11;26
WM-AC02.2;Porta bicchieri;DA 4 FORI;5.000;Custom packaging grossisti;955-3;26
WM-AC03.1;Bauletto colazione;35,8 × 25,8 × 19,5 h;300;Custom packaging grossisti;42-375A/B;27
WM-AC04.1;Box colazione a scorrimento;30 × 30 × 10 h;500;Custom packaging grossisti;42-SCOR;28
WM-AC05.1;Bauletto Happy Meal;21 × 12,5 × 13,5 h;5.000;Custom packaging grossisti;680-79;29
WM-CE01.1;Box sushi con divisorio;S · 13 × 18 × 5 h;2.000;Custom packaging grossisti;680-17;31
WM-CE01.2;Box sushi con divisorio;M · 28 × 18 × 5,5 h;2.000;Custom packaging grossisti;680-38;31
WM-CE01.3;Box sushi con divisorio;L · 30 × 25 × 5,5 h;2.000;Custom packaging grossisti;680-14A;31
WM-CE01.4;Box sushi con divisorio – Divisorio;S · 13 × 18 × 5 h;2.000;Custom packaging grossisti;DIV13;31
WM-CE01.5;Box sushi con divisorio – Divisorio;M · 28 × 18 × 5,5 h;2.000;Custom packaging grossisti;DIV18;31
WM-CE01.6;Box sushi con divisorio – Divisorio;L · 30 × 25 × 5,5 h;2.000;Custom packaging grossisti;DIV30;31
WM-CE02.1;Box sushi a scorrimento;20 × 14 × 5 h;5.000;Custom packaging grossisti;680-35;32
WM-CE03.1;Noodle box;9,2 × 7,4 × 8,5 h;5.000;Custom packaging grossisti;FB004;33
WM-CE04.1;Box porta tacos;12 × 9 × 6,5 h;5.000;Custom packaging grossisti;42-188;34
WM-CE05.1;Box porta piadina;20 × 14 × 5 h;5.000;Custom packaging grossisti;BK001;35
WM-CE05.2;Box porta piadina;9 × 6,5 × 21 h;5.000;Custom packaging grossisti;24P048;35
WM-PA01.1;Porta paste classico;350 gr · 15,5 × 22 × 6,5 h;300;Custom packaging grossisti;60-04;38
WM-PA01.2;Porta paste classico;500 gr · 17 × 24 × 6,5 h;300;Custom packaging grossisti;60-03;38
WM-PA01.3;Porta paste classico;750 gr · 21 × 29 × 6,5 h;300;Custom packaging grossisti;60-02;38
